,Timestamp,Time at Apple,Current Role,Years in Current Role,Current Hourly Rate,Annual Salary,RSU Grant,Age,State/Province,Ethnicity,Gender,State Count
294,4/21/2022 3:44:31,10-15 years,service voice for aos,2-5 years,24.0,"53,000","$1,500",51-60,CA,Black or African American,Man,1
199,4/19/2022 19:09:22,2-5 years,Lead,0-1 years,30.5,"$63,000","$2,000",21-30,CA,Asian,Man,1
307,4/21/2022 9:25:19,10-15 years,Genius Admin,0-1 years,29.0,"$60,000","$2,500",31-40,CA,I choose not to disclose,Man,1
409,4/22/2022 11:40:39,10-15 years,Specialist,2-5 years,22.99,47820,"$1,500",31-40,AZ,White,Woman,1
593,4/30/2022 21:46:54,2-5 years,Expert,0-1 years,22.7,47000,1000,21-30,AZ,White,Transgender,1
550,4/26/2022 20:51:49,6-10 years,Genius,2-5 years,26.0,"50,000","2,000",21-30,AZ,Hispanic or Latino or Spanish Origin of any race,Woman,1
353,4/21/2022 18:48:41,6-10 years,t2 technical support aha,6-8 years,22.9,46716,2000,21-30,AZ,White,Man,1
392,4/22/2022 8:13:05,6-10 years,Genius,6-8 years,24.4,50741,2000,31-40,AR,White,Man,1
195,4/19/2022 17:17:02,6-10 years,Operations Expert,2-5 years,30.97,"$64,000.00","$2,500.00",21-30,CA,White,Man,1
462,4/23/2022 0:08:54,10-15 years,Genius,9-11 years,27.89,"$58,000","$2,000",31-40,FL,White,Non-binary / non-conforming,1
418,4/22/2022 12:14:07,6-10 years,Lead,9-11 years,24.0,IDK,"$4,500",21-30,CA,I choose not to disclose,I choose not to disclose,1
164,4/19/2022 11:09:10,2-5 years,Pro,2-5 years,28.0,"$53,000.00","$1,500.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
23,4/18/2022 15:26:46,2-5 years,Genius,2-5 years,27.29,"$28,000.00","$2,000.00",21-30,CA,I choose not to disclose,Man,1
24,4/18/2022 15:31:52,6-10 years,Tech and Merchandising Pro,2-5 years,29.57,"$60,000.00","$2,000.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
656,5/24/2022 19:51:36,6-10 years,Genius,0-1 years,27.0,"56,000","2,000",31-40,CA,White,Woman,1
654,5/23/2022 11:49:29,2-5 years,ux designer ,2-5 years,76.92,160000,70000,31-40,CA,White,Man,1
28,4/18/2022 15:47:52,2-5 years,Specialist,2-5 years,23.23,"$49,000.00",-,21-30,CA,Black or African American,Man,1
232,4/20/2022 9:26:27,6-10 years,Lead Genius,0-1 years,34.0,"$71,000.00","$2,500.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Non-binary / non-conforming,1
645,5/16/2022 4:14:32,0-1 years,Specialist,0-1 years,22.5,"$33,000",-,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
251,4/20/2022 15:54:01,2-5 years,Expert,2-5 years,25.02,"$45,000","2,500.00",21-30,CA,Black or African American,Non-binary / non-conforming,1
639,5/12/2022 21:20:34,6-10 years,designer,2-5 years,52.16,"$108,500/year ",-,21-30,CA,White,Man,1
293,4/21/2022 3:03:09,10-15 years,Genius,9-11 years,32.0,"$67,572","$3,000",31-40,CA,I choose not to disclose,I choose not to disclose,1
35,4/18/2022 16:04:55,2-5 years,Tech and Merchandising Pro,2-5 years,31.83,"$66,000.00","$2,317.14",31-40,CA,White,Man,1
256,4/20/2022 16:35:17,2-5 years,Specialist,2-5 years,26.14,"$27,480","$1,500",21-30,CA,Black or African American,Woman,1
210,4/19/2022 22:59:03,10-15 years,Operations Lead,2-5 years,34.0,"$72,000.00","$2,000.00",31-40,CA,White,Man,1
372,4/21/2022 22:34:39,2-5 years,Genius,0-1 years,28.51,29900,2000,21-30,CA,Asian,Man,1
76,4/18/2022 19:53:32,16-20 years,quality program manager,9-11 years,52.71,"$110,000.00",3000,31-40,CA,White,Man,1
502,4/24/2022 19:55:45,2-5 years,Expert,0-1 years,25.0,"$48,000","$1,500",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
483,4/23/2022 19:45:17,10-15 years,Technical Specialist,9-11 years,23.0,"$23,000","$1,500",51-60,CA,White,Woman,1
482,4/23/2022 19:33:09,2-5 years,Specialist,2-5 years,20.0,"22,000",1000,21-30,CA,Hispanic or Latino or Spanish Origin of any race,Woman,1
473,4/23/2022 13:39:20,2-5 years,Genius Admin,0-1 years,29.0,"$52,000","$2,500",21-30,CA,White,Woman,1
67,4/18/2022 19:15:04,2-5 years,account manager,2-5 years,44.76,"$93,000.00","$2,000",31-40,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
467,4/23/2022 4:01:46,2-5 years,Expert,0-1 years,24.78,25780,"$1,500",21-30,CA,White,Man,1
181,4/19/2022 13:50:32,6-10 years,Genius,2-5 years,28.8,"$59,000.00","$2,200.00",21-30,CA,Hispanic or Latino or Spanish Origin of any race,Man,1
